Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Aruba,Latin America & Caribbean,High income,ABW,,1,0
Afghanistan,South Asia,Low income,AFG,,2,0
Angola,Sub-Saharan Africa,Lower middle income,AGO,,3,0
Albanie,Europe & Central Asia,Upper middle income,ALB,,4,0
Andorre,Europe & Central Asia,High income,AND,,5,0
Émirats arabes unis,Middle East & North Africa,High income,ARE,,6,0
Argentine,Latin America & Caribbean,Upper middle income,ARG,,7,0
Arménie,Europe & Central Asia,Upper middle income,ARM,,8,0
Samoa américaines,East Asia & Pacific,High income,ASM,,9,0
Antigua-et-Barbuda,Latin America & Caribbean,High income,ATG,,10,0
Australie,East Asia & Pacific,High income,AUS,,11,0
Autriche,Europe & Central Asia,High income,AUT,,12,0
Azerbaïdjan,Europe & Central Asia,Upper middle income,AZE,,13,0
Burundi,Sub-Saharan Africa,Low income,BDI,,14,0
Belgique,Europe & Central Asia,High income,BEL,,15,0
Bénin,Sub-Saharan Africa,Lower middle income,BEN,,16,0
Burkina Faso,Sub-Saharan Africa,Low income,BFA,,17,0
Bangladesh,South Asia,Lower middle income,BGD,,18,0
Bulgarie,Europe & Central Asia,Upper middle income,BGR,,19,0
Bahreïn,Middle East & North Africa,High income,BHR,,20,0
"Bahamas, Les",Latin America & Caribbean,High income,BHS,,21,0
Bosnie-Herzégovine,Europe & Central Asia,Upper middle income,BIH,,22,0
Biélorussie,Europe & Central Asia,Upper middle income,BLR,,23,0
Bélize,Latin America & Caribbean,Upper middle income,BLZ,,24,0
Bermudes,North America,High income,BMU,,25,0
Bolivie,Latin America & Caribbean,Lower middle income,BOL,,26,0
Brésil,Latin America & Caribbean,Upper middle income,BRA,,27,0
Barbade,Latin America & Caribbean,High income,BRB,,28,0
Brunéi Darussalam,East Asia & Pacific,High income,BRN,,29,0
Bhoutan,South Asia,Lower middle income,BTN,,30,0
Botswana,Sub-Saharan Africa,Upper middle income,BWA,,31,0
République centrafricaine,Sub-Saharan Africa,Low income,CAF,,32,0
Canada,North America,High income,CAN,,33,0
Suisse,Europe & Central Asia,High income,CHE,,34,0
Îles anglo-normandes,Europe & Central Asia,High income,CHI,,35,0
Chili,Latin America & Caribbean,High income,CHL,,36,0
Chine,East Asia & Pacific,Upper middle income,CHN,,37,0
Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,CIV,,38,0
Cameroun,Sub-Saharan Africa,Lower middle income,CMR,,39,0
"Congo, Dém. représentant",Sub-Saharan Africa,Low income,COD,,40,0
"Congo, Rép.",Sub-Saharan Africa,Lower middle income,COG,,41,0
Colombie,Latin America & Caribbean,Upper middle income,COL,,42,0
Comores,Sub-Saharan Africa,Lower middle income,COM,,43,0
Cap-Vert,Sub-Saharan Africa,Lower middle income,CPV,,44,0
Costa Rica,Latin America & Caribbean,Upper middle income,CRI,,45,0
Cuba,Latin America & Caribbean,Upper middle income,CUB,,46,0
Curaçao,Latin America & Caribbean,High income,CUW,,47,0
Îles Caïmans,Latin America & Caribbean,High income,CYM,,48,0
Chypre,Europe & Central Asia,High income,CYP,,49,0
Tchéquie,Europe & Central Asia,High income,CZE,,50,0
Allemagne,Europe & Central Asia,High income,DEU,,51,0
Djibouti,Middle East & North Africa,Lower middle income,DJI,,52,0
Dominique,Latin America & Caribbean,Upper middle income,DMA,,53,0
Danemark,Europe & Central Asia,High income,DNK,,54,0
République dominicaine,Latin America & Caribbean,Upper middle income,DOM,,55,0
Algérie,Middle East & North Africa,Lower middle income,DZA,,56,0
Équateur,Latin America & Caribbean,Upper middle income,ECU,,57,0
"Egypte, Rép. Arabe",Middle East & North Africa,Lower middle income,EGY,,58,0
Érythrée,Sub-Saharan Africa,Low income,ERI,,59,0
Espagne,Europe & Central Asia,High income,ESP,,60,0
Estonie,Europe & Central Asia,High income,EST,,61,0
Ethiopie,Sub-Saharan Africa,Low income,ETH,,62,0
Finlande,Europe & Central Asia,High income,FIN,,63,0
Fidji,East Asia & Pacific,Upper middle income,FJI,,64,0
France,Europe & Central Asia,High income,FRA,,65,0
Îles Féroé,Europe & Central Asia,High income,FRO,,66,0
"Micronésie, Fed. Sts.",East Asia & Pacific,Lower middle income,FSM,,67,0
Gabon,Sub-Saharan Africa,Upper middle income,GAB,,68,0
Royaume-Uni,Europe & Central Asia,High income,GBR,,69,0
Géorgie,Europe & Central Asia,Upper middle income,GEO,,70,0
Ghana,Sub-Saharan Africa,Lower middle income,GHA,,71,0
Gibraltar,Europe & Central Asia,High income,GIB,,72,0
Guinée,Sub-Saharan Africa,Lower middle income,GIN,,73,0
"Gambie, La",Sub-Saharan Africa,Low income,GMB,,74,0
Guinée-Bissau,Sub-Saharan Africa,Low income,GNB,,75,0
Guinée équatoriale,Sub-Saharan Africa,Upper middle income,GNQ,,76,0
Grèce,Europe & Central Asia,High income,GRC,,77,0
Grenade,Latin America & Caribbean,Upper middle income,GRD,,78,0
Groenland,Europe & Central Asia,High income,GRL,,79,0
Guatemala,Latin America & Caribbean,Upper middle income,GTM,,80,0
Guam,East Asia & Pacific,High income,GUM,,81,0
Guyane,Latin America & Caribbean,High income,GUY,,82,0
"RAS de Hong Kong, Chine",East Asia & Pacific,High income,HKG,,83,0
Honduras,Latin America & Caribbean,Lower middle income,HND,,84,0
Croatie,Europe & Central Asia,High income,HRV,,85,0
Haïti,Latin America & Caribbean,Lower middle income,HTI,,86,0
Hongrie,Europe & Central Asia,High income,HUN,,87,0
Indonésie,East Asia & Pacific,Upper middle income,IDN,,89,0
Île de Man,Europe & Central Asia,High income,IMN,,90,0
Inde,South Asia,Lower middle income,IND,,91,0
Irlande,Europe & Central Asia,High income,IRL,,92,0
"Iran, Rép. Islamique.",Middle East & North Africa,Lower middle income,IRN,,93,0
Irak,Middle East & North Africa,Upper middle income,IRQ,,94,0
Islande,Europe & Central Asia,High income,ISL,,95,0
Israël,Middle East & North Africa,High income,ISR,,96,0
Italie,Europe & Central Asia,High income,ITA,,97,0
