Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Aruba,América Latina e Caribe,High income,ABW,,1,0
Ilhas Alanda,Sul da Ásia,Low income,AFG,,2,0
Albânia,África Subsaariana,Lower middle income,AGO,,3,0
Argélia,Europa e Ásia Central,Upper middle income,ALB,,4,0
Samoa Americana,Europa e Ásia Central,High income,AND,,5,0
Andorra,Oriente Médio e Norte da África,High income,ARE,,6,0
Angola,América Latina e Caribe,Upper middle income,ARG,,7,0
Anguila,Europa e Ásia Central,Upper middle income,ARM,,8,0
Antártica,Ásia Oriental e Pacífico,High income,ASM,,9,0
Antígua e Barbuda,América Latina e Caribe,High income,ATG,,10,0
Argentina,Ásia Oriental e Pacífico,High income,AUS,,11,0
Armênia,Europa e Ásia Central,High income,AUT,,12,0
Aruba,Europa e Ásia Central,Upper middle income,AZE,,13,0
Austrália,África Subsaariana,Low income,BDI,,14,0
Áustria,Europa e Ásia Central,High income,BEL,,15,0
Azerbaijão,África Subsaariana,Lower middle income,BEN,,16,0
Bahrein,África Subsaariana,Low income,BFA,,17,0
Bangladesh,Sul da Ásia,Lower middle income,BGD,,18,0
Barbados,Europa e Ásia Central,Upper middle income,BGR,,19,0
Bielorrússia,Oriente Médio e Norte da África,High income,BHR,,20,0
Bélgica,América Latina e Caribe,High income,BHS,,21,0
Belize,Europa e Ásia Central,Upper middle income,BIH,,22,0
Benim,Europa e Ásia Central,Upper middle income,BLR,,23,0
Bermudas,América Latina e Caribe,Upper middle income,BLZ,,24,0
Butão,América do Norte,High income,BMU,,25,0
Bolívia,América Latina e Caribe,Lower middle income,BOL,,26,0
"Bonaire, Santo Eustáquio e Saba",América Latina e Caribe,Upper middle income,BRA,,27,0
Bósnia e Herzegovina,América Latina e Caribe,High income,BRB,,28,0
Botsuana,Ásia Oriental e Pacífico,High income,BRN,,29,0
Ilha Bouvet,Sul da Ásia,Lower middle income,BTN,,30,0
Brasil,África Subsaariana,Upper middle income,BWA,,31,0
Território Britânico do Oceano Índico,África Subsaariana,Low income,CAF,,32,0
Brunei,América do Norte,High income,CAN,,33,0
Bulgária,Europa e Ásia Central,High income,CHE,,34,0
Burquina Faso,Europa e Ásia Central,High income,CHI,,35,0
Burundi,América Latina e Caribe,High income,CHL,,36,0
Camboja,Ásia Oriental e Pacífico,Upper middle income,CHN,,37,0
Camarões,África Subsaariana,Lower middle income,CIV,,38,0
Canadá,África Subsaariana,Lower middle income,CMR,,39,0
Cabo Verde,África Subsaariana,Low income,COD,,40,0
Ilhas Cayman,África Subsaariana,Lower middle income,COG,,41,0
República Centro-Africana,América Latina e Caribe,Upper middle income,COL,,42,0
Chade,África Subsaariana,Lower middle income,COM,,43,0
Chile,África Subsaariana,Lower middle income,CPV,,44,0
China,América Latina e Caribe,Upper middle income,CRI,,45,0
Ilha Natal,América Latina e Caribe,Upper middle income,CUB,,46,0
Ilhas Cocos (Keeling),América Latina e Caribe,High income,CUW,,47,0
Colômbia,América Latina e Caribe,High income,CYM,,48,0
Comores,Europa e Ásia Central,High income,CYP,,49,0
Congo,Europa e Ásia Central,High income,CZE,,50,0
Ilhas Cook,Europa e Ásia Central,High income,DEU,,51,0
Costa Rica,Oriente Médio e Norte da África,Lower middle income,DJI,,52,0
Costa do Marfim (Costa do Marfim),América Latina e Caribe,Upper middle income,DMA,,53,0
Croácia,Europa e Ásia Central,High income,DNK,,54,0
Cuba,América Latina e Caribe,Upper middle income,DOM,,55,0
Curaçao,Oriente Médio e Norte da África,Lower middle income,DZA,,56,0
Chipre,América Latina e Caribe,Upper middle income,ECU,,57,0
República Tcheca,Oriente Médio e Norte da África,Lower middle income,EGY,,58,0
República Democrática do Congo,África Subsaariana,Low income,ERI,,59,0
Dinamarca,Europa e Ásia Central,High income,ESP,,60,0
Djibuti,Europa e Ásia Central,High income,EST,,61,0
Domínica,África Subsaariana,Low income,ETH,,62,0
República Dominicana,Europa e Ásia Central,High income,FIN,,63,0
Equador,Ásia Oriental e Pacífico,Upper middle income,FJI,,64,0
Egito,Europa e Ásia Central,High income,FRA,,65,0
El Salvador,Europa e Ásia Central,High income,FRO,,66,0
