Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Aruba,América Latina y el Caribe,High income,ABW,,1,0
Islas Aland,Asia meridional,Low income,AFG,,2,0
Albania,África subsahariana,Lower middle income,AGO,,3,0
Argelia,Europa y Asia Central,Upper middle income,ALB,,4,0
Samoa Americana,Europa y Asia Central,High income,AND,,5,0
Andorra,Oriente Medio y Norte de África,High income,ARE,,6,0
Angola,América Latina y el Caribe,Upper middle income,ARG,,7,0
Anguila,Europa y Asia Central,Upper middle income,ARM,,8,0
Antártida,Asia Oriental y Pacífico,High income,ASM,,9,0
Antigua y Barbuda,América Latina y el Caribe,High income,ATG,,10,0
Argentina,Asia Oriental y Pacífico,High income,AUS,,11,0
Armenia,Europa y Asia Central,High income,AUT,,12,0
Aruba,Europa y Asia Central,Upper middle income,AZE,,13,0
Australia,África subsahariana,Low income,BDI,,14,0
Austria,Europa y Asia Central,High income,BEL,,15,0
Azerbaiyán,África subsahariana,Lower middle income,BEN,,16,0
Bahréin,África subsahariana,Low income,BFA,,17,0
Bangladesh,Asia meridional,Lower middle income,BGD,,18,0
Barbados,Europa y Asia Central,Upper middle income,BGR,,19,0
Bielorrusia,Oriente Medio y Norte de África,High income,BHR,,20,0
Bélgica,América Latina y el Caribe,High income,BHS,,21,0
Belice,Europa y Asia Central,Upper middle income,BIH,,22,0
Benín,Europa y Asia Central,Upper middle income,BLR,,23,0
islas Bermudas,América Latina y el Caribe,Upper middle income,BLZ,,24,0
Bután,América del norte,High income,BMU,,25,0
bolivia,América Latina y el Caribe,Lower middle income,BOL,,26,0
"Bonaire, San Eustaquio y Saba",América Latina y el Caribe,Upper middle income,BRA,,27,0
Bosnia y Herzegovina,América Latina y el Caribe,High income,BRB,,28,0
Botsuana,Asia Oriental y Pacífico,High income,BRN,,29,0
Isla Bouvet,Asia meridional,Lower middle income,BTN,,30,0
Brasil,África subsahariana,Upper middle income,BWA,,31,0
Territorio Británico del Océano Índico,África subsahariana,Low income,CAF,,32,0
Brunéi,América del norte,High income,CAN,,33,0
Bulgaria,Europa y Asia Central,High income,CHE,,34,0
Burkina Faso,Europa y Asia Central,High income,CHI,,35,0
Burundi,América Latina y el Caribe,High income,CHL,,36,0
Camboya,Asia Oriental y Pacífico,Upper middle income,CHN,,37,0
Camerún,África subsahariana,Lower middle income,CIV,,38,0
Canadá,África subsahariana,Lower middle income,CMR,,39,0
Cabo Verde,África subsahariana,Low income,COD,,40,0
Islas Caimán,África subsahariana,Lower middle income,COG,,41,0
República Centroafricana,América Latina y el Caribe,Upper middle income,COL,,42,0
Chad,África subsahariana,Lower middle income,COM,,43,0
Chile,África subsahariana,Lower middle income,CPV,,44,0
Porcelana,América Latina y el Caribe,Upper middle income,CRI,,45,0
Isla de Navidad,América Latina y el Caribe,Upper middle income,CUB,,46,0
Islas Cocos (Keeling),América Latina y el Caribe,High income,CUW,,47,0
Colombia,América Latina y el Caribe,High income,CYM,,48,0
Comoras,Europa y Asia Central,High income,CYP,,49,0
Congo,Europa y Asia Central,High income,CZE,,50,0
Islas Cook,Europa y Asia Central,High income,DEU,,51,0
Costa Rica,Oriente Medio y Norte de África,Lower middle income,DJI,,52,0
Costa de Marfil (Costa de Marfil),América Latina y el Caribe,Upper middle income,DMA,,53,0
Croacia,Europa y Asia Central,High income,DNK,,54,0
Cuba,América Latina y el Caribe,Upper middle income,DOM,,55,0
Curazao,Oriente Medio y Norte de África,Lower middle income,DZA,,56,0
Chipre,América Latina y el Caribe,Upper middle income,ECU,,57,0
República Checa,Oriente Medio y Norte de África,Lower middle income,EGY,,58,0
República Democrática del Congo,África subsahariana,Low income,ERI,,59,0
Dinamarca,Europa y Asia Central,High income,ESP,,60,0
Yibuti,Europa y Asia Central,High income,EST,,61,0
república dominicana,África subsahariana,Low income,ETH,,62,0
República Dominicana,Europa y Asia Central,High income,FIN,,63,0
Ecuador,Asia Oriental y Pacífico,Upper middle income,FJI,,64,0
Egipto,Europa y Asia Central,High income,FRA,,65,0
Salvador,Europa y Asia Central,High income,FRO,,66,0
Guinea Ecuatorial,Asia Oriental y Pacífico,Lower middle income,FSM,,67,0
Eritrea,África subsahariana,Upper middle income,GAB,,68,0
Estonia,Europa y Asia Central,High income,GBR,,69,0
Esuatini,Europa y Asia Central,Upper middle income,GEO,,70,0
Etiopía,África subsahariana,Lower middle income,GHA,,71,0
Islas Malvinas,Europa y Asia Central,High income,GIB,,72,0
Islas Feroe,África subsahariana,Lower middle income,GIN,,73,0
Islas Fiyi,África subsahariana,Low income,GMB,,74,0
Finlandia,África subsahariana,Low income,GNB,,75,0
Francia,África subsahariana,Upper middle income,GNQ,,76,0
Guayana Francesa,Europa y Asia Central,High income,GRC,,77,0
Polinesia Francesa,América Latina y el Caribe,Upper middle income,GRD,,78,0
Territorios Australes Franceses,Europa y Asia Central,High income,GRL,,79,0
Gabón,América Latina y el Caribe,Upper middle income,GTM,,80,0
Gambia,Asia Oriental y Pacífico,High income,GUM,,81,0
